Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Ryzen Threadripper 3970X,Matisse,32  / 64,3.7 to 4.5 GHz,Socket TR4,7 nm,128MB,280 W,"Nov 25th, 2019"
Ryzen Threadripper 3980X,Matisse,48  / 96,3.5 to 4.7 GHz,Socket TR4,7 nm,128MB,280 W,"Nov 14th, 2019"
A8-7680,Godaveri,4,3.5 to 3.8 GHz,Socket FM2+,28 nm,N/A,45 W,"Oct 26th, 2018"
Athlon 200GE,Zen,02-Apr,3.2 GHz,Socket AM4,14 nm,4MB,35 W,"Jun 1st, 2018"
Athlon 220GE,Zen,02-Apr,3.4 GHz,Socket AM4,14 nm,4MB,35 W,"Jun 1st, 2018"
Athlon 220GE,Zen,02-Apr,3.4 GHz,Socket AM4,14 nm,4MB,35 W,"Dec 21st, 2018"
Athlon 220GE,Zen,02-Apr,3.4 GHz,Socket AM4,14 nm,4MB,35 W,"Dec 21st, 2018"
Athlon 240GE,Zen,02-Apr,3.5 GHz,Socket AM4,14 nm,4MB,35 W,"Dec 21st, 2018"
Athlon PRO 200GE,Zen,2,3.2 GHz,Socket AM4,14 nm,4MB,35 W,"Jun 1st, 2018"
EPYC 7371,Naples,16  / 32,3.1 to 3.8 GHz,Socket TR4,14 nm,64MB,170 W,"Nov 16th, 2018"
EPYC Embedded 3251,Zen,Aug-16,2.5 to 3.1 GHz,Socket TR4,14 nm,16MB,50 W,"Feb 21st, 2018"
Ryzen 3 2200G,Raven Ridge,4,3.5 to 3.7 GHz,Socket AM4,14 nm,4MB,65 W,"Feb 12th, 2018"
Ryzen 3 2300X,Zen,4,3.5 to 4.2 GHz,Socket AM4,14 nm,4MB,65 W,"Aug 1st, 2018"
Ryzen 5 2400G,Raven Ridge,04-Aug,3.6 to 3.9 GHz,Socket AM4,14 nm,4MB,65 W,"Feb 12th, 2018"
Ryzen 5 2500X,Zen,04-Aug,3.6 to 4 GHz,Socket AM4,12 nm,16MB,65 W,"Oct 1st, 2018"
Ryzen 5 2600,Zen,06-Dec,3.4 to 3.9 GHz,Socket AM4,12 nm,16MB,65 W,"Apr 19th, 2018"
Ryzen 5 2600E,Zen,06-Dec,3.1 to 4 GHz,Socket AM4,12 nm,16MB,65 W,"Sep 19th, 2018"
Ryzen 5 2600H,Raven Ridge,04-Aug,3.3 to 3.6 GHz,Socket FP5,14 nm,4MB,15 W,"May 30th, 2018"
Ryzen 5 2600X,Zen,06-Dec,3.6 to 4.25 GHz,Socket AM4,12 nm,16MB,95 W,"Apr 19th, 2018"
Ryzen 5 PRO 2400G,Raven Ridge,04-Aug,3.6 to 3.9 GHz,Socket AM4,14 nm,4MB,65 W,"Feb 12th, 2018"
Ryzen 5 PRO 2600,Zen,06-Dec,3.4 to 3.9 GHz,Socket AM4,12 nm,16MB,65 W,"Sep 19th, 2018"
Ryzen 7 2700,Zen,Aug-16,3.2 to 4.1 GHz,Socket AM4,12 nm,16MB,65 W,"Apr 19th, 2018"
Ryzen 7 2700E,Zen,Aug-16,2.8 to 4 GHz,Socket AM4,12 nm,16MB,65 W,"Sep 19th, 2018"
Ryzen 7 2700X,Zen,Aug-16,3.7 to 4.35 GHz,Socket AM4,12 nm,16MB,105 W,"Apr 19th, 2018"
Ryzen 7 2800H,Raven Ridge,04-Aug,3.4 to 3.8 GHz,Socket FP5,14 nm,4MB,15 W,"May 30th, 2018"
Ryzen 7 PRO 2700,Zen,Aug-16,3.2 to 4.1 GHz,Socket AM4,12 nm,16MB,65 W,"Sep 19th, 2018"
Ryzen 7 PRO 2700X,Zen,Aug-16,3.6 to 4.1 GHz,Socket AM4,12 nm,16MB,95 W,"Sep 19th, 2018"
Ryzen Embedded V1202B,Zen,02-Apr,2.3 to 3.2 GHz,Socket FP5,14 nm,2MB,15 W,"Feb 21st, 2018"
Ryzen Embedded V1605B,Zen,04-Aug,2 to 3.6 GHz,Socket FP5,14 nm,2MB,15 W,"Feb 21st, 2018"
Ryzen Embedded V1756B,Zen,04-Aug,3.25 to 3.6 GHz,Socket FP5,14 nm,2MB,45 W,"Feb 21st, 2018"
Ryzen Embedded V1807B,Zen,04-Aug,3.35 to 3.8 GHz,Socket FP5,14 nm,2MB,45 W,"Feb 21st, 2018"
Ryzen Threadripper 2920X,Zen,Dec-24,3.5 to 4.3 GHz,Socket SP3r2,12 nm,32MB,180 W,"Oct 3rd, 2018"
Ryzen Threadripper 2950X,Zen,16  / 32,3.5 to 4.4 GHz,Socket SP3r2,12 nm,32MB,180 W,"Aug 13th, 2018"
Ryzen Threadripper 2970WX,Zen,24  / 48,3 to 4.2 GHz,Socket SP3r2,12 nm,64MB,250 W,"Oct 2nd, 2018"
Ryzen Threadripper 2990WX,Zen,32  / 64,3 to 4.2 GHz,Socket SP3r2,12 nm,64MB,250 W,"Aug 13th, 2018"
A10-9700,Bristol Ridge,4,3.5 to 3.8 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
A10-9700E,Bristol Ridge,4,3 to 3.5 GHz,Socket AM4,28 nm,N/A,35 W,"Jul 27th, 2017"
A12-9800,Bristol Ridge,4,3.8 to 4.2 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
A12-9800E,Bristol Ridge,4,3.1 to 3.8 GHz,Socket AM4,28 nm,N/A,35 W,"Jul 27th, 2017"
A6-9500,Bristol Ridge,2,3.5 to 3.8 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
A6-9500E,Bristol Ridge,2,3 to 3.4 GHz,Socket AM4,28 nm,N/A,35 W,"Jul 27th, 2017"
A6-9550,Bristol Ridge,2,3.8 to 4 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
