Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Core 2 Duo T7600G,Merom,2 ,2.333 GHz,Socket M,65 nm,N/A,35 W,"Dec 27th, 2006"
Core 2 Extreme QX6700,Kentsfield,4 ,2.666 GHz,Socket 775,65 nm,N/A,130 W,"Nov 1st, 2006"
Core 2 Extreme X6800,Conroe XE,2 ,2.933 GHz,Socket 775,65 nm,N/A,75 W,"Jul 27th, 2006"
Core Duo LV L2300,Yonah,2 ,1500 MHz,Socket 479,65 nm,N/A,15 W,"Jan 5th, 2006"
Core Duo LV L2400,Yonah,2 ,1666 MHz,Socket 479,65 nm,N/A,15 W,"Jan 5th, 2006"
Core Duo LV L2500,Yonah,2 ,1833 MHz,Socket 479,65 nm,N/A,15 W,"Sep 3rd, 2006"
Core Duo T2250,Yonah,2 ,1733 MHz,Socket 479,65 nm,N/A,31 W,"May 1st, 2006"
Core Duo T2300,Yonah,2 ,1660 MHz,Socket 479,65 nm,N/A,31 W,"Jan 5th, 2006"
Core Duo T2400,Yonah,2 ,1826 MHz,Socket 479,65 nm,N/A,31 W,"Jan 5th, 2006"
Core Duo T2500,Yonah,2 ,1992 MHz,Socket 479,65 nm,N/A,31 W,"Jan 5th, 2006"
Core Duo T2600,Yonah,2 ,2.166 GHz,Socket 479,65 nm,N/A,31 W,"Jan 5th, 2006"
Core Duo T2700,Yonah,2 ,2.333 GHz,Socket 479,65 nm,N/A,31 W,"Jun 28th, 2006"
Core Duo ULV L2400,Yonah,2 ,1066 MHz,Socket 479,65 nm,N/A,9 W,"Sep 3rd, 2006"
Core Duo ULV L2500,Yonah,2 ,1200 MHz,Socket 479,65 nm,N/A,9 W,"Jun 28th, 2006"
Core Solo T1200,Yonah,1 ,1500 MHz,Socket 479,65 nm,N/A,27 W,"Jan 5th, 2006"
Core Solo T1300,Yonah,1 ,1660 MHz,Socket 479,65 nm,N/A,27 W,"Jan 5th, 2006"
Core Solo T1350,Yonah,1 ,1866 MHz,Socket 479,65 nm,N/A,27 W,"Jan 5th, 2006"
Core Solo T1400,Yonah,1 ,1833 MHz,Socket 479,65 nm,N/A,27 W,"Jan 5th, 2006"
Core Solo ULV U1300,Yonah,1 ,1066 MHz,Socket 479,65 nm,N/A,5 W,"Apr 19th, 2006"
Core Solo ULV U1400,Yonah,1 ,1200 MHz,Socket 479,65 nm,N/A,5 W,"Apr 19th, 2006"
Core Solo ULV U1500,Yonah,1 ,1333 MHz,Socket 479,65 nm,N/A,5 W,"Apr 19th, 2006"
Pentium 4 HT 631,Cedar Mill,1  / 2,3 GHz,Socket 775,65 nm,N/A,86 W,"Jan 5th, 2006"
Pentium 4 HT 641,Cedar Mill,1  / 2,3.2 GHz,Socket 775,65 nm,N/A,86 W,"Jan 5th, 2006"
Pentium 4 HT 651,Cedar Mill,1  / 2,3.4 GHz,Socket 775,65 nm,N/A,86 W,"Jan 5th, 2006"
Pentium 4 HT 661,Cedar Mill,1  / 2,3.6 GHz,Socket 775,65 nm,N/A,86 W,"Jan 5th, 2006"
Pentium D 915,Presler,2 ,2.8 GHz,Socket 775,65 nm,N/A,95 W,"Jul 23rd, 2006"
